SpecificHeatCapacity_composition_average,MeltingT_composition_average,HeatVaporization_composition_average,BCCvolume_padiff_composition_average,NdValence_composition_average,IonicRadii_composition_average,HeatCapacityMass_composition_average,MendeleevNumber_composition_average,IsFCC_composition_average,GSenergy_pa_composition_average,NUnfilled_composition_average,HHIr_composition_average,ElasticModulus_composition_average,ElectronAffinity_composition_average,valence_composition_average,BCCmagmom_composition_average,MiracleRadius_composition_average,BCCenergy_pa_composition_average,HeatFusion_composition_average,ThirdIonizationEnergy_composition_average
0.61,1072.435,312.55,-1.8724999999999998,5.0,0.535,0.6085,76.0,1.0,-4.1807313325,4.5,1450.0,92.75,82.5,3.5,0.0,127.5,-3.96427601,23.825,31.3335
0.52,1719.7350000000001,475.93500000000006,0.05499999999999999,1.0,0.685,0.5205,59.0,0.5,-6.8498612275,6.5,1800.0,104.75,22.5,3.5,0.0,149.5,-6.712418245,18.955,25.883499999999998
0.52,583.895,175.05,-1.2337931035,5.0,0.78,0.5185,72.0,0.5,-1.9977643412069999,2.5,2050.0,46.25,22.5,2.5,0.0,146.5,-1.905009045,6.5025,31.3245
0.5665,681.61,258.5675,0.305,5.0,0.67,0.5650000000000001,74.0,0.5,-3.20611254,5.0,1500.0,42.25,37.0,3.0,0.0,148.0,-3.152046125,7.000500000000001,28.238500000000002
0.515,1836.2350000000001,427.19000000000005,0.43,3.5,0.585,0.514,66.5,1.0,-6.296967285,4.0,5050.0,301.75,97.5,3.0,0.24154275,138.5,-5.93867135,25.915,14.2235
0.545,1063.2350000000001,345.185,0.50625,0.5,0.85,0.546,43.0,0.5,-4.336484652499999,7.0,2050.0,60.25,47.5,3.0,0.00040255,164.0,-4.223025825000001,8.455,23.810499999999998
0.96,928.235,209.2,0.215,0.0,0.63,0.96,70.5,0.5,-2.6438477149999997,2.5,750.0,57.45,-92.5,2.5,0.0,150.5,-2.58192898,9.595,54.295
0.69,1226.2350000000001,255.27,0.2312068965,2.5,0.605,0.688,62.5,0.5,-6.38299418517,5.0,1400.0,134.25,22.5,5.0,0.40928645,136.5,-6.260298945000001,11.81,31.057000000000002
0.575,1914.7350000000001,440.6,0.22,2.5,0.565,0.5740000000000001,61.5,0.5,-7.295765445,5.5,3150.0,196.25,70.5,4.5,0.0,140.0,-7.248147449999999,24.095,27.8035
1.065,652.1700000000001,194.405,0.2033333335,0.0,0.78,1.0625,37.5,0.5,-2.5028322516649997,3.0,750.0,37.75,48.85,2.0,0.0,160.5,-2.452335915,6.655,50.044000000000004
0.5825,1841.7350000000001,490.45000000000005,0.22,2.0,0.5900000000000001,0.581,60.0,0.5,-6.919372325,6.0,4900.0,87.25,70.5,4.0,0.0,142.0,-6.87175433,20.355,26.743499999999997
0.545,1113.7350000000001,287.24,0.3,0.0,0.915,0.5435,46.0,0.5,-4.25388723,7.5,2050.0,54.25,47.5,3.0,0.0,161.5,-4.140469715,8.925,25.261499999999998
0.672,1330.7350000000001,334.15,0.225,4.0,0.615,0.6705,67.0,1.0,-4.645873845000001,3.5,1250.0,139.25,78.0,3.0,0.0322836,133.5,-4.544663085,14.095,31.808500000000002
0.515,2119.735,459.20000000000005,0.46499999999999997,3.0,0.585,0.5135000000000001,65.0,0.5,-7.483063555,4.5,5050.0,310.25,77.5,5.5,0.0,138.0,-6.991276395,34.28,14.2235
0.8345,625.385,151.6,-3.9851190475,0.0,0.35500000000000004,0.833,78.0,0.5,-4.57296608125,4.0,3050.0,37.75,58.35,4.0,0.0,121.5,-4.166611665,14.625,29.313499999999998
